Outcome,Glc,Man,Gal,Alt,GlcNAc,ManNAc,GalNAc,GulNAc,GlcN,ManN,GalN,GlcA,GalA,Rha,Fuc,QuiNAc,FucNAc,Ara,Xyl,Rib,LDmanHep,Kdo,DDmanHep,Api,Fru
0,0.05,1,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.06
0,0.2,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0
0,0.202839757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496957404,1,0,0,0,0,0,0
0,0.298507463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.468656716,1,0,0,0,0,0,0
0,0.243309002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.518248175,1,0,0,0,0,0,0
0,0.268817243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422431753,1,0,0,0,0,0,0
0,0.628930818,0.798742138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.949685535,0,0,0,0,0,0
0,0.212314225,0.709129512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.76433121,0,0,0,0,0,0
0,0.266666667,0.498666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.805333333,0,0,0,0,0,0
0,0.14,1,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0
0,0.161616162,1,0.067821068,0,0,0,0,0,0.078350371,0,0.091408766,0,0,0,0,0,0,0,0,0.050216456,0,0,0,0,0
0,0.457227139,1,0.528023599,0,0,0,0,0,0.240251358,0,0.347029739,0,0,0,0,0,0,0.173451347,0,0.18761064,0,0,0,0,0
0,1,0.159445407,0.282495667,0,0,0,0,0,0,0.041823098,0.246151994,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0.666666667,0.221311475,0.844262296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0.02
0,1,0.5,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.8,1,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0
0,0.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.36,0.03,0,0,0,0,0,0.26,0,0,0.06,0.05,0,0,0,0,0.06,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.5,0.1,0,0,0,0,0,0.1,0,0,0.1,0.3,0,0,0,0,0.25,0,0,0,0,0,0,0
1,0.2,1,0.2,0,0,0,0,0,0.01,0,0,0.3,0.4,0,0,0,0,0.9,0,0,0,0,0,0,0
1,1,1,0.7,0,0,0,0,0,0,0,0.7,0.3,0.04,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0.9,1,0,0,0,0,0,0,0,0.6,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0.927670539,0,0.927670539,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0.33333333,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0.502934272,0,0,0,0,0,0,0,0,0,0,0,0.528766548,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,0.057142857,0.835714286,0.617857143,0,1,0,0,0,0,0,0,0.764285714,0,0.028571429,0.264285714,0,0,0,0,0,0,0,0,0,0
1,0.149232915,1,0.125523013,0,0.055788006,0,0.020920502,0,0,0,0,0,0,0.029288703,0,0,0,0,0.012552301,0,0,0,0,0,0
1,1,0.094302554,0.870333988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0.037804878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160975628,0.057073177,0,0,0,0,0,0
1,0.108108108,1,0.040540541,0,0,0,0,0,0,0,0,0.100321282,0,0,0,0,0,0.08108109,0,0,0,0,0,0,0
1,0.1875,1,0.083333333,0,0.135736426,0,0.169670533,0,0,0,0,0.193327471,0.038665574,0.02286384,0,0,0,0.150000017,0.050000006,0,0,0,0,0,0
1,0.105263158,0.868421053,1,0,0.085728269,0,0.021432067,0,0,0,0,0.146521873,0,0,0.317687037,0,0,0.063157902,0,0,0,0,0,0,0
1,0.4,1,0,0,0.020360464,0,0.020360464,0,0,0,0,0.023199296,0,0.164619646,0.795661625,0,0,0.120000013,0,0.060000007,0,0,0,0,0
1,1,0.947368421,0.105263158,0,0,0,0.064296202,0,0,0,0,0.073260936,0,0.173283838,0,0,0,0.315789509,0.031578951,0,0,0,0,0,0
1,1,0.026666667,0.013333333,0,0,0,0.021717828,0,0,0,0,0.037118874,0.061864918,0,0,0,0,0.192000021,0,0,0,0,0,0,0
1,1,0.019230769,0.096153846,0,0,0,0.015661895,0,0,0,0,0,0.535369483,0.105525414,0.021105083,0,0,0.069230777,0,0.023076926,0,0,0,0,0
1,0.933934442,0.862093331,0.035920555,0,0.029254367,0,0.409561137,0,0,0,0,0,1,0,0,0,0,0.129314014,0,0,0,0,0,0,0
1,0.125,1,0.0625,0,0.02545058,0,0.139978189,0,0,0,0,0.086997362,0,0,0,0,0,0.075000008,0,0,0,0,0,0,0
1,0.243902439,1,0.12195122,0,0,0,0.139047071,0,0,0,0,0.4526692,0,0.053534844,0,0,0,0.380487847,0.058536592,0,0,0,0,0,0
1,0,0,0.497252442,0,0,0.404977171,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.426229898,0.376107309,0,0,0
1,0,0,0.994504885,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.376107309,0.426229898,0,0
1,1,0,0.81,0,0,0,0,0,0,0,0,0.42,0.32,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0.44,1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.420454545,1,0,0,0,0,0,0,0,0,0,0,0,0.049884741,0,0,0,0.040909095,0,0,0,0,0,0,0
0,0.336283186,1,0.251327434,0,0,0,0,0,0,0,0,0,0.024636472,0,0,0,0,0,0,0,0,0,0,0,0
0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,1
0,0.35,1,0.69,0,0,0,0,0,0,0,0.65,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0
0,0.875297985,0,0,0,0,0,0,0,1,0,0,0,0,0.755400953,0,0,0,0,0.055281984,0,0,0,0,0,0
0,0.406820753,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0.440677966,0.237288136,1,0,0,0,0,0,0,0,0,0.338983051,0.322033898,0.423728814,0.169491525,0,0,0,0,0,0,0,0,0,0
0,1,0,0.932515337,0,0,0,0,0,0,0,0,0.668711656,0.386503067,0.012269939,0,0,0,0,0,0,0,0,0,0,0
0,0.884615385,0,0.961538462,0,0,0,0,0,0,0,0,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0.076923077,0.738461538,0,0.025059033,0,0,0,0,0,0,0.285529803,0.178456494,0.025326099,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0,0,0,0.5,0,0.4,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.5,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.381944444,1,0,0,0,0,0,0,0,0,0,0,0,0.00762128,0,0,0,0,0,0,0,0,0,0,0
0,0.428571429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.274895397,0.09874477,0.288284519,0,0,0,0,0,0.508368201,0,0,0.89832636,0.964435146,1,0.151046025,0,0,0,0,0,0,0,0,0,0
0,1,0.337078652,0.91011236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0.521712413,0,0,0,0,0,0,0,0,0,0,0,0,0.577506311,0,0,0,0,0,0,0,0,0,0
0,0.579411765,1,0.967647059,0,0,0,0,0,0,0,0,0,0,0,0.432530052,0,0,0,0,0,0,0,0,0,0
0,0.609492988,1,0.32038835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.366568915,1,0,0,0,0,0,0,0,0,0,0,0,0.109424594,0,0,0,0,0,0,0,0,0,0,0
0,0.35261194,1,0,0,0,0,0,0,0,0,0,0,0.437844341,0,0,0,0,0,0,0,0,0,0,0,0
0,0.289243028,1,0,0,0,0,0,0,0,0,0,0,0,0.119802877,0,0,0,0,0.234262974,0,0,0,0,0,0
0,1,0.517241379,0,0,0,0,0,0,0,0,0,0,0,0.344827586,0,0,0,0,0,0,0,0,0,0,0
0,0.425760286,1,0.24686941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.417989418,1,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.333333333,1,0,0,0,0,0,0,0,0,0,0,0.822222222,0,0,0,0,0,0,0,0,0,0,0,0
0,0.396270396,1,0,0,0,0,0,0,0,0,0,0,0.869463869,0,0,0,0,0,0,0,0,0,0,0,0
0,0.841954023,1,0.402298851,0,0,0,0,0,0,0,0,0.583982291,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0.08,0.75,0,0,0,0,0,0,0,0,0.064449502,0,0.06,0.054873215,0,0,0,0,0,0,0,0,0,0
0,1,0.547038328,0,0,0,0,0,0,0,0,0,0.383687587,0,0,0.724738676,0,0,0.348432056,0,0,0,0,0,0,0
0,1,0.558238636,0.186363636,0,0,0,0,0,0,0,0,0.372280482,0,0.087921857,0.813121284,0,0,0.330681855,0,0,0,0,0,0,0
0,1,0.572858732,0.082869855,0,0,0,0,0,0,0,0,0.36433961,0,0.058596537,0.825539755,0,0,0.383092367,0,0,0,0,0,0,0
0,1,0.620708447,0.075476839,0,0,0,0,0,0,0,0,0.374766164,0,0.071469747,0.74071365,0,0,0.346594044,0,0,0,0,0,0,0
0,1,0.446085672,0.1614968,0,0,0,0,0,0,0,0,0.337283549,0,0,0.724077881,0,0,0.368094576,0,0,0,0,0,0,0
