Outcome,Neutral,Positive,Negative,Zwitterionic
0,1.34,0,0,0
0,1.75,0,0,0
0,1.699797161,0,0,0
0,1.767164179,0,0,0
0,1.761557177,0,0,0
0,1.691248996,0,0,0
0,3.377358491,0,0,0
0,2.685774947,0,0,0
0,2.570666667,0,0,0
0,1.2,0,0,0
0,1.279653686,0.169759137,0,0
0,2.346312725,0.587281097,0,0
0,1.441941074,0.287975092,0,0
0,1.45,0,0,0
0,2.732240438,0,0,0
0,1,0,0,1
0,1.3,0,0,0
0,1.2,0,0,0
0,1.13,0,0,0
0,1.8,0,0,0
0,1.3,0,0,0
0,2,0.4,0,0
0,1.7,0,0,0
0,1,0,0,0
0,1,0,0,0
1,1.45,0.26,0.11,0
1,1,0,0,0
1,1,0,0,0
1,1,0,0,0
1,1.85,0.1,0.4,0
1,2.3,0.01,0.7,0
1,2.7,0.7,0.34,0
1,2.9,0.6,0.4,0
1,0,0,1,0.5
1,0,0,2,2
1,0,0,0,2.855341078
1,1,0,0.33333333,0
1,2.03170082,0,0,0
0,1,0,1,0
1,1.803571429,0,0.764285714,1
1,1.316596932,0,0,0.076708508
1,1.964636542,0,0,0
1,1.255853683,0,0,0
1,1.229729739,0,0.100321282,0
1,1.493697196,0,0.231993045,0.305406959
1,2.35452915,0,0.146521873,0.107160336
1,2.540281291,0,0.023199296,0.040720928
1,2.573283877,0,0.073260936,0.064296202
1,1.232000021,0,0.098983792,0.021717828
1,1.334322815,0,0.535369483,0.015661895
1,1.961262342,0,1,0.438815504
1,1.262500008,0,0.086997362,0.165428769
1,1.858412942,0,0.4526692,0.139047071
1,0.92348234,1,0.376107309,0.404977171
1,1.420734783,1,0.376107309,0
1,1.81,0,0.74,0
1,0,0,1,1
0,1.53,0,0,0
0,1.511248381,0,0,0
0,1.58761062,0,0.024636472,0
0,2.03,0,0,0
0,2.63,0.65,0,0
0,1.685980922,1,0,0
0,1.406820753,0,0,0
0,1,0,0,0
0,0,0,1,0.333333333
0,1,0,0,0
0,2.271186441,0,0.661016949,0
0,1.944785276,0,1.055214723,0
0,1.846153847,0,1.25,0
0,1.840710714,0,0.463986297,0.025059033
0,3.4,0,0.5,0
0,0,0,1,1
0,1.389565724,0,0,0
0,1.428571429,0,0,0
0,1.812970711,0.508368201,1.862761506,0
0,2.247191012,0,0,0
0,2.099218724,0,0,0
0,2.979588876,0,0,0
0,1.929881338,0,0,0
0,2.5,0,0,0
0,1.475993509,0,0,0
0,1.35261194,0,0.437844341,0
0,1.643308879,0,0,0
0,1.862068965,0,0,0
0,1.672629696,0,0,0
0,1.64021164,0,0,0
0,1.333333333,0,0.822222222,0
0,1.396270396,0,0.869463869,0
0,2.244252874,0,0.583982291,0
0,1.944873215,0,0.064449502,0
0,2.62020906,0,0.383687587,0
0,2.976327268,0,0.372280482,0
0,2.922957246,0,0.36433961,0
0,2.854962727,0,0.374766164,0
0,2.699754929,0,0.337283549,0
0,2,0.2,0,0
0,1.7,0.3,0,0
0,1,0.5,0,0.5
0,3.261666427,0,0,0
0,1.358463727,0,0,0.056899004
0,1.77203065,0,0.143678161,0
0,2.996732027,0,0.27124183,0
0,2.4,0,0.25,0
1,2.1,0.1,0.11,0
1,0,0,0,0
1,1,0,0,0
1,1.666666667,0,0,0
1,2.25,0,0.19,0.15
1,1.125,0,0,0
0,1,0,0,0.81
1,1.769230769,0,0,0
1,1.600000067,0,0,0
1,1.800000089,0,0,0
0,1.552172375,0,0.803849802,0
0,1.833333241,0,0.085923399,0
1,0,0.910693745,0,2.532768239
1,1.911191363,0,0,2.284126268
1,1.911191363,0,0,2.284126268
1,2.45790624,0,0,0.39997198
1,0,0,0,2
1,1,0,0.845562518,0.742093414
1,1.999993908,0,0,0.79994396
0,0,0,0.845557368,3.284119311
1,1.91803295,1,0.837557019,0
1,1.989067246,1,0,0
0,1.394736842,0,0,0
0,1.093008102,0,0.04250253,0
0,1.637753549,0,0.032675129,0
0,1.936000024,0,0,0
1,0.680587695,0,1,0
1,0.561868866,0,1,0
1,0.144024801,0,1,0
1,0.153111869,0,1,0
1,0.461288207,0,1,0
1,0.26131778,0,1,0
1,0.102696643,0,1,0
1,1.297737412,0,0.489688783,0
1,1.843613909,0,1,0
0,0,0,0,0
1,1.73,0,0,0
0,0,0,1,0
0,3.951194549,0,0,0
1,1,0,0,0
0,1.2,0.09,0,0
